what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804313368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804315820
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1481804316364
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1481804317048
opened,view,org.testng.eclipse,6.10.0.201612030230,"org.testng.eclipse.ResultView",1481804318436
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481804322903
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481804322936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804329119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804329840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804331895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804368104
activated,view,org.testng.eclipse,6.10.0.201612030230,"org.testng.eclipse.ResultView",1481804368117
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1481804368258
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1481804373080
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1481804375929
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1481804376358
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1481804376364
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1481804376408
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1481804376413
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1481804376664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1481804379480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804379784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804379916
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1481804380064
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1481804380069
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1481804383331
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1481804383626
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1481804383753
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1481804383774
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1481804384403
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1481804384405
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1481804387301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804391504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1481804395138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804415057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1481804415129
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1481804416340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804419742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804452556
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1481804454327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804457861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1481804461715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804607571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1481804607578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804612745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804616909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804625428
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1481804679952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804829400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804831382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804835914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804837065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804863407
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1481804863444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481804878962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481805033358
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1481805035948
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1481805049986
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481805050096
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481805050301
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1481805052800
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1481805052839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481805137936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1481805166161
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1481805169824
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1481805169862
